"xml_@ref","xml_text()","aiddata_id","iati_org_code","iati_org_name"
"","United Nations Development Programme, Niger","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Panama","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Sao Tome and Principe","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Sudan","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Syria","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Tajikistan","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Togo","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Turkmenistan","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Ukraine","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Uzbekistan","48","41114","United Nations Development Programme"
"","United Nations Development Programme, West Bank and Gaza","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Yemen","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Zambia","48","41114","United Nations Development Programme"
"","United Nations Development Programme, Zimbabwe","48","41114","United Nations Development Programme"
"","United Nations Development Program, Djibouti","48","41114","United Nations Development Programme"
"41","UNITED NATIONS ENVIRONMENT PROGRAMME","50849215","41116","United Nations Environment Programme"
"11635","UNEP RISO","50849215","41116","United Nations Environment Programme"
"41116","UNEP WCMC","50849215","41116","United Nations Environment Programme"
"","UNEP","50849215","41116","United Nations Environment Programme"
"","UNEP UN Environment Programme","50849215","41116","United Nations Environment Programme"
"","United Nations Environment Programm","50849215","41116","United Nations Environment Programme"
"","United Nations Environment Programme","50849215","41116","United Nations Environment Programme"
"10232","UN FRAMEWORK CONVENTION ON CLI","61711690","41118","United Nations Framework Convention on Climate Change"
"41118","United Nations Framework Convention on Climate Change (UNFCCC)","61711690","41118","United Nations Framework Convention on Climate Change"
"41316","NNUU OTROS: CMNUCC - Convenci?_n Marco de las Naciones Unidas sobre el Cambio Clim??tico","61711690","41118","United Nations Framework Convention on Climate Change"
"41316","United Nations Framework Convention on Climate Change","61711690","41118","United Nations Framework Convention on Climate Change"
"","United Nations Climate Change Convention Secretariat","61711690","41118","United Nations Framework Convention on Climate Change"
"","United Nations Framework Convention on Climate Change","61711690","41118","United Nations Framework Convention on Climate Change"
"","UNFCCC,UN Conv.Climate Change","61711690","41118","United Nations Framework Convention on Climate Change"
"31","UNITED NATIONS POPULATION FUND","49","41119","United Nations Population Fund"
"10778","United Nations Fund for Population Activities","49","41119","United Nations Population Fund"
"10988","EGY UNITED NATIONS POPULATION FUND","49","41119","United Nations Population Fund"
"41119","UNFPA","49","41119","United Nations Population Fund"
"41119","United Nations Population Fund","49","41119","United Nations Population Fund"
"41119","United Nations Population Fund (UNFPA)","49","41119","United Nations Population Fund"
"41119","NNUU FNUAP - Fondo de Poblaci?_n de las Naciones Unidas","49","41119","United Nations Population Fund"
"41119","UN POPULATION FUND","49","41119","United Nations Population Fund"
"41119","UNFPA - Fonds des Nations Unies pour la population","49","41119","United Nations Population Fund"
"41119","UNFPA - United Nations Population Fund","49","41119","United Nations Population Fund"
"41119","United Nations Population Fund","49","41119","United Nations Population Fund"
"","UN Population Fund","49","41119","United Nations Population Fund"
"","UNFPA - Fonds des Nations Unies pour la population","49","41119","United Nations Population Fund"
"","UNFPA - Intern Programme","49","41119","United Nations Population Fund"
"","UNFPA - SRH","49","41119","United Nations Population Fund"
"","UNFPA - SRH Multisectoral","49","41119","United Nations Population Fund"
"","UNFPA - SRH Multisectoral Income","49","41119","United Nations Population Fund"
"","UNFPA - UN Population Fund","49","41119","United Nations Population Fund"
"","UNFPA - United Nations Population Fund","49","41119","United Nations Population Fund"
"","UNFPA Pakistan","49","41119","United Nations Population Fund"
"","Allocation of unearmarked funds by UNFPA","49","41119","United Nations Population Fund"
"","UNFPA","49","41119","United Nations Population Fund"
"","UNFPA - USA","49","41119","United Nations Population Fund"
"","United Nations Population Fund","49","41119","United Nations Population Fund"
"23","UN CENTRE FOR HUMAN SETTLEMENTS","40226000","41120","United Nations Human Settlement Programme"
"537","UN Centre for Human Settlement","40226000","41120","United Nations Human Settlement Programme"
"41120","UN Habitat","55299894","41120","United Nations Human Settlement Programme"
"41120","United Nations Human Settlement Programme","55299894","41120","United Nations Human Settlement Programme"
"41120","United Nations Human Settlement Programme (UN Habitat)","55299894","41120","United Nations Human Settlement Programme"
"41120","ONU-HABITAT - Programme des Nations Unies pour les ?tablissements humains","55299894","41120","United Nations Human Settlement Programme"
"41120","NNUU OTROS: UN-HABITAT - Programa de Naciones Unidas para los Asentamientos Humanos","55299894","41120","United Nations Human Settlement Programme"
"41120","UN-HABITAT - United Nations Human Settlements Programme","55299894","41120","United Nations Human Settlement Programme"
"41120","United Nations Human Settlement Programme","55299894","41120","United Nations Human Settlement Programme"
"","UN Centre for Human Settlement","40226000","41120","United Nations Human Settlement Programme"
"","UNHABITAT","40226000","41120","United Nations Human Settlement Programme"
"","UN-Habitat","40226000","41120","United Nations Human Settlement Programme"
"","UN-HABITAT - United Nations Human Settlements Programme","40226000","41120","United Nations Human Settlement Programme"
"","UNHCO Ugandan Nat HealthConOrg","40226000","41120","United Nations Human Settlement Programme"
"","UN Habitat","40226000","41120","United Nations Human Settlement Programme"
"","United Nations Human Settlements Programme (UN-HABITAT)","40226000","41120","United Nations Human Settlement Programme"
"","United Nations Human Settlements Programe","40226000","41120","United Nations Human Settlement Programme"
"","United Nations Human Settlements Programme","40226000","41120","United Nations Human Settlement Programme"
"40","UN HIGH COMMISSIONER FOR REFUGEES","51947246","41121","United Nations Office of the United Nations High Commissioner for Refugees"
